,neg,pos,neut
bunt,2,2,6
bunwatch,1,0,0
buongiorno,0,1,0
bupa,0,1,0
buran,0,0,1
burbank,0,2,1
burden,1,0,3
burdwan,0,0,2
burdwanblast,1,0,1
burdwanterror,0,0,2
bure,0,0,2
bureau,0,1,1
burg,0,1,0
burge,0,0,1
burger,1,3,4
burgerking,0,0,2
burgesshill,0,1,0
burglary,0,1,0
burgoyne,0,0,2
burgundy,0,0,1
burial,1,0,2
burka,1,0,0
burke,4,4,6
burleigh,0,0,1
burlesque,0,2,1
burlington,0,2,0
burma,0,0,2
burn,28,24,31
burnaby,0,1,0
burnabyschool,0,1,0
burned,1,0,0
burnell,0,1,0
burner,0,0,1
burnham,0,1,2
burnin,0,1,0
burning,0,0,1
burningdaylight,0,1,0
burningman,0,1,0
burnley,0,0,1
burns,2,2,7
burp,2,0,0
burqas,1,0,0
burr,2,1,0
burrell,0,2,0
burrito,1,6,1
burro,0,0,1
burrows,0,1,0
burst,7,1,3
burt,1,0,0
burto,0,1,0
burton,0,2,4
bury,3,2,8
bus,14,16,32
busboys,0,1,0
busch,0,1,1
buscher,0,0,1
bush,72,9,84
bushee,0,0,1
bushel,0,1,0
business,14,38,61
businessampwill,0,1,0
businesses,0,1,0
businessescr,0,0,1
businessinsider,0,0,1
businessman,0,1,1
businessnews,0,0,1
businessweek,0,1,0
businesswoman,0,2,0
busk,0,0,1
busn,0,0,1
buss,2,0,0
bust,7,5,6
busta,0,0,2
bustamove,0,1,0
busted,0,0,1
bustedopenlive,0,0,1
buster,0,5,4
bustin,0,1,2
bustle,0,1,1
bustling,0,0,1
bustout,0,0,1
busy,16,35,47
busyday,0,1,0
busyness,0,1,0
busyy,0,1,0
butch,1,0,1
butcher,2,0,1
buti,0,1,0
butilovethemsomuch,0,1,0
butitshisfavoriteband,0,1,0
butitshouldbedelmarfair,0,0,1
butland,0,0,1
butler,1,4,0
butlins,0,0,1
butok,0,1,0
butt,11,10,10
butter,0,5,3
butterfield,0,0,1
butterfinger,0,0,1
butterfly,1,2,2
butterworth,1,1,1
butthatsnoneofmybusiness,0,1,0
butthole,0,1,0
butthurt,1,1,0
butthurtaf,1,0,0
butthurtedness,1,0,0
buttiglione,0,0,1
buttler,1,0,0
buttner,1,0,0
buttock,1,0,0
button,3,4,4
buttons,0,0,1
butts,0,0,1
buttseck,1,0,0
butty,0,0,1
buuren,0,4,5
buut,1,0,0
buutt,1,0,0
buwxiwfma,1,0,0
buy,65,203,274
buyer,1,2,5
buyers,0,0,2
buying,1,1,1
buyingmoney,0,0,1
buymecoffeetoo,1,0,0
buymethat,0,0,1
buys,0,0,2
buythepaper,0,0,1
buzz,5,14,18
buzzard,0,2,0
buzzcocks,0,1,0
buzzed,0,1,0
buzzer,0,1,1
buzzfeed,0,0,2
buzzin,0,2,1
buzzing,0,1,0
buzzingg,0,1,0
buzzkill,0,0,1
buzztown,0,1,0
bvb,0,1,0
bvr,1,0,0
bw,0,3,1
bwahaha,0,1,0
bwahahaha,0,0,1
bware,0,1,0
bwfc,1,0,1
bwi,0,0,1
bwob,0,1,0
bwoy,0,0,1
bwoyblunder,0,0,1
bwv,0,0,1
bww,0,0,1
bx,0,1,0
byakugan,0,0,1
bye,14,24,36
byebyewage,0,1,0
byee,0,1,0
byefelicia,0,3,0
byelection,1,0,0
byers,0,1,0
byewalker,1,0,0
byng,0,0,1
bynum,0,1,2
byo,0,1,0
byob,0,1,1
bypass,0,0,1
byralvarez,0,0,1
byram,0,1,0
byrd,0,1,0
byrdak,1,1,10
byrne,2,0,1
byron,1,0,2
byroon,0,0,1
bystander,1,0,0
bytheway,0,1,0
byu,2,3,9
bywayofhelena,0,0,1
bz,0,1,0
ca,4,11,22
cab,0,8,6
cabal,2,0,0
cabana,0,0,1
cabanas,0,1,0
cabaret,0,1,1
cabaretsupperclub,0,1,0
cabaye,0,2,0
cabbage,0,0,3
cabell,0,0,1
cabin,0,3,2
cabinet,3,4,14
cabinfever,0,1,0
cable,5,3,12
cabooze,0,1,0
cabrera,0,0,2
cabrini,0,0,1
cac,0,1,0
cacao,0,1,0
cackle,0,0,2
cactu,0,1,0
cactus,0,2,10
cad,0,1,1
cadd,0,0,1
caddell,0,0,1
caddie,0,1,5
caddy,0,0,1
cadel,0,2,0
cadenza,0,0,1
cadet,0,0,1
cadi,0,0,1
cadillac,1,1,0
cadre,0,1,0
cadres,0,0,1
cady,0,0,4
cae,0,0,1
caen,0,0,1
caesar,1,2,1
caesars,0,0,2
cafc,1,0,0
cafe,2,8,23
cafeteria,0,2,1
cage,1,3,3
cagi,0,1,0
cahill,0,0,1
cahoot,2,0,0
cahsee,6,2,3
cai,0,0,1
cain,3,20,5
cainer,0,1,0
cairo,2,0,0
caissie,0,0,1
cait,0,2,9
caitlin,0,0,1
caitlyn,78,19,101
caitlynjenner,1,0,1
caityln,0,0,1
caiyyvqwkf,0,0,1
cajuns,0,0,1
cak,0,0,1
cakap,0,1,0
cake,4,34,28
cakecrawl,1,0,0
cakepop,0,1,0
cakes,0,1,0
cal,1,1,4
cala,0,1,0
calabasashigh,0,0,1
calais,0,0,2
calamba,1,0,0
calamity,0,0,1
calander,0,0,1
calculate,1,1,1
calculated,0,0,1
calculation,0,0,2
calculator,0,0,3
calculus,0,0,1
calderon,0,0,2
caleb,0,1,1
caledonia,0,1,0
calendar,3,17,16
calender,0,1,4
calf,0,3,4
calgary,1,14,5
calgarycmmc,0,1,0
calhoun,0,0,4
cali,3,9,5
caliber,0,2,1
calibraksaep,0,2,2
calibraska,6,56,42
calibraskaep,0,12,6
calibrasksaep,0,0,1
calibrate,0,0,1
calibrateif,0,1,0
calibration,0,1,0
caliente,0,1,0
calif,1,1,2
california,9,22,18
californian,0,1,0
caliph,0,0,1
caliphate,1,0,0
calirfornia,0,1,0
calistoga,0,0,1
calivler,0,1,0
callaghan,0,1,0
callahan,0,1,0
callander,0,1,0
calle,4,10,4
calledcont,0,0,1
calleja,0,1,0
caller,1,4,3
callersamazing,1,0,0
callhim,1,0,0
calli,1,0,0
calling,0,0,1
callington,0,0,2
callinit,0,1,0
callmatterface,0,0,1
callmeal,0,0,1
callmecrazy,1,0,0
calln,0,0,4
callous,1,0,1
callow,0,2,0
callum,1,0,1
calm,2,9,10
calming,0,0,1
calmly,0,1,0
calmness,0,0,1
calorie,0,2,1
calstate,0,0,1
caltrain,6,1,4
calum,0,0,5
calv,0,1,0
calvi,0,1,0
calvin,2,0,10
cam,3,12,10
camaraderie,0,0,1
camarillo,0,1,0
camaro,1,0,0
camberwell,0,0,1
camborne,0,1,0
cambridge,0,6,7
camby,0,1,0
camcorder,0,1,0
camden,0,1,2
came,0,1,0
camel,0,1,1
camelot,0,1,0
cameo,1,3,8
cameos,1,0,1
camera,6,15,24
cameraman,0,1,0
cameras,3,1,1
camerawoman,1,0,0
cameron,40,25,70
cameronthetinman,0,0,1
cameroon,1,1,0
cameroonian,3,0,0
cameroun,2,1,1
cameyyboo,0,1,0
camila,6,6,7
camilla,1,5,6
camille,0,1,0
cammalleri,0,1,0
camo,0,0,1
camon,0,1,0
camp,7,28,45
campaign,30,21,69
campaigning,0,0,2
campaigns,0,0,1
campbel,0,0,1
campbell,2,5,2
campbeltown,0,0,1
camper,0,2,2
campfloggnaw,0,0,1
camping,0,3,1
campnou,0,2,0
campout,0,2,0
campus,1,9,14
campw,0,0,1
campy,0,1,0
canada,5,16,39
canadawall,1,0,0
canadia,0,0,1
canadian,3,4,13
canadiancellphoneplanssuck,1,0,0
canadians,1,3,2
canadien,2,0,0
canadiens,1,3,4
canal,2,2,3
canaries,0,1,0
canary,1,0,1
canberra,0,2,4
cancel,67,12,37
canceling,0,0,1
cancellation,3,1,2
cancelled,2,1,0
cancelmonday,1,0,0
cancer,14,5,12
cancernight,0,0,1
cancerous,0,0,1
cancun,0,1,0
cand,1,1,1
candatidate,1,0,0
candid,1,1,2
candida,0,1,0
candidacy,1,1,3
candidate,19,29,50
candidly,0,0,1
candids,0,0,1
candis,0,0,1
candle,3,5,5
candlelight,0,1,2
candles,0,1,1
candreva,0,0,1
candy,13,40,24
candycanepark,0,1,0
candyman,0,1,0
cane,1,4,5
canes,1,0,0
canham,0,1,0
cani,0,1,0
canio,1,0,0
canlab,0,1,0
canna,0,1,0
cannabis,1,2,0
cannavaro,4,2,5
cannes,0,0,1
cannibal,0,0,1
cannibalism,0,0,1
canning,1,7,2
cannon,1,0,1
canny,0,1,0
cano,0,1,1
canoe,0,0,2
canon,0,1,5
canonize,0,0,2
canopy,0,1,0
canqueer,0,0,1
cantcontainexcitement,0,1,0
cantdecidewhethertocareornot,0,0,1
canteen,0,0,1
cantgetitcantbegot,0,1,0
cantina,0,0,1
cantmissthat,0,1,0
canton,0,1,1
cantor,1,0,2
cantsingforshit,0,1,0
cantsleep,0,1,0
cantstoplisten,0,1,0
canttakethisanymore,1,0,0
canttouchthis,0,1,0
cantwait,0,10,0
cantwaitt,0,1,0
cantwaittofindout,0,0,1
cantyouworkoutmore,1,0,0
canuc,0,0,1
canuck,1,0,1
canucks,0,1,0
canvas,0,1,2
canvass,0,2,1
canyon,0,1,1
canyoning,0,1,0
cao,6,2,4
cap,4,11,10
capabiliti,1,0,0
capabilities,0,1,0
capability,1,0,1
capable,0,2,3
capacity,0,4,1
capaldi,1,0,0
capcom,1,1,1
cape,2,6,14
capebreton,0,1,0
capebretonpost,0,0,1
capeclothconvo,0,1,0
capeflyer,0,1,0
capella,1,0,0
capellas,1,0,0
capello,6,6,13
capetown,0,0,1
capistrano,0,0,1
capital,1,6,21
capitalgmc,0,0,1
capitalism,0,1,0
capitalist,2,0,0
capitalonecup,0,0,1
capitalpride,0,1,1
capitol,4,8,12
capitulate,1,0,1
capmarvel,0,0,1
cappella,0,0,1
capri,0,1,1
capricorn,0,0,1
caps,0,0,1
capsule,0,0,2
capsules,1,0,1
capt,0,7,7
captain,7,38,26
captainamerica,0,1,0
captainmarvel,0,0,1
captains,0,1,0
caption,1,1,4
captivate,0,0,2
captivity,1,0,1
capture,1,1,2
captures,1,0,0
capturing,0,1,0
caputo,1,0,0
car,34,64,66
cara,0,3,8
caracal,0,0,2
caramel,0,2,1
caramele,0,0,1
caravan,0,1,0
caraway,0,1,0
carbon,0,0,6
carbonite,0,0,1
carbonzero,1,0,0
carcass,0,0,1
carcinogenic,0,0,1
card,24,56,66
cardassians,1,0,0
cardboard,0,1,4
cardealership,0,1,0
cardiac,1,0,0
cardiff,0,8,7
cardigan,3,4,3
cardinal,3,3,4
cardinalnation,0,1,0
cardinals,4,2,5
cardio,0,3,2
cardiovascular,0,0,1
cards,0,1,7
care,77,58,71
cared,1,0,0
careen,1,0,0
career,20,49,56
careers,0,1,0
carefree,0,1,0
careful,2,1,12
carefully,1,0,1
careless,3,2,7
carelessness,0,0,1
carerra,0,0,1
caresmeh,1,0,0
caresn,0,1,0
caretaker,0,0,3
carey,11,68,24
cargo,0,0,3
carhart,0,1,0
caribbean,0,1,0
caribou,0,2,0
caricature,0,0,2
carimi,0,1,0
carine,0,1,0
carkit,0,1,0
carl,3,5,5
carla,0,1,0
carles,5,2,2
carleton,0,0,1
carli,0,0,1
carling,3,8,9
carlo,3,13,12
carlos,2,4,9
carlton,1,4,10
carluccio,2,12,5
carluke,0,0,1
carly,42,93,73
carlyfiorina,0,1,0
carlyle,1,0,0
carlypresident,0,1,0
carmel,0,3,2
carmelo,2,4,4
carmen,0,3,0
carmichael,0,0,1
carmona,0,0,1
carmouche,0,0,1
carn,0,0,1
carnage,1,2,1
carnaval,0,0,1
carnegie,0,1,0
carney,0,1,0
carnival,3,6,6
carnivalatbray,0,0,1
caroemerald,0,1,0
carol,2,20,9
carola,0,1,0
carole,0,0,1
carolemc,0,1,0
carolfilm,0,0,1
carolina,1,5,14
carolinas,0,1,0
caroline,0,2,1
carolon,0,0,1
carols,0,3,0
carolus,0,0,1
carolyn,0,0,1
carpe,0,0,1
carpenter,0,0,2
carpenters,1,0,0
carpet,1,16,17
carphone,0,0,1
carpi,1,2,1
carpool,0,0,1
carporn,0,1,0
carr,0,2,0
carra,0,0,1
carragher,0,0,1
carrefour,0,1,2
carrey,0,0,1
carriage,1,1,0
carribean,0,0,1
carrick,1,1,1
carrie,1,7,6
carriehfletcher,0,0,1
carrier,3,1,3
carrigan,0,1,0
carroll,3,4,6
carrot,2,0,1
carrow,0,3,0
carry,11,16,30
cars,0,1,2
carsick,1,0,0
carson,4,6,16
carsonsmith,0,0,1
cart,3,2,7
cartel,1,0,1
carter,15,21,33
cartografia,0,0,1
cartoomic,0,1,0
cartoon,3,7,5
cartoonist,1,0,2
cartridge,0,0,3
cartwright,0,1,0
caruso,0,0,1
carve,0,1,2
carvel,0,1,0
carving,0,0,1
cary,0,0,1
carzorla,0,1,0
casa,1,0,1
cascada,0,1,0
cascade,1,1,0
cascades,1,3,4
cascamorras,0,0,1
case,40,42,121
casecrown,0,0,3
casestudy,0,0,1
casey,0,3,3
caseyface,0,0,1
cash,8,15,31
cashback,0,0,1
cashee,5,4,2
casher,0,0,1
cashew,0,1,0
cashier,0,1,1
casi,0,0,1
casillas,0,2,2
casimir,1,5,4
casino,2,8,1
cask,0,1,1
cass,0,1,0
cassadee,2,1,0
cassel,0,1,0
casselberry,0,1,0
cassette,0,0,2
cassettes,0,0,1
cassidy,0,1,0
cassie,0,2,0
cassill,0,0,2
cassius,0,0,1
cassper,0,1,0
cast,6,38,32
castaway,0,0,1
caste,0,0,2
casteel,0,0,1
castelton,0,1,0
caster,0,0,1
castigate,1,0,0
castillo,0,0,3
casting,0,5,0
castle,5,15,12
castleberryisd,0,1,0
castlecrasher,0,1,0
castlepalloza,0,1,0
castlepalooza,0,1,0
castrate,1,0,1
castro,0,4,3
castsucks,1,0,0
casual,1,5,8
casually,1,3,3
casualties,0,0,1
casualty,2,0,2
casus,1,0,0
cat,8,20,22
cataclysmic,0,1,0
catal,0,0,1
catalog,0,1,2
catalogue,0,2,1
catalonia,0,0,2
catalyst,0,0,2
catalyze,0,0,1
catania,0,0,1
catapult,0,1,0
cataract,1,0,1
catastrophe,1,0,0
catastrophic,0,1,0
catch,35,107,104
catcher,1,2,5
catchh,1,0,0
catching,0,1,0
catchphrase,0,1,0
catchup,0,1,1
catchy,0,1,1
cate,5,36,32
category,1,4,11
catelynn,3,7,6
cater,0,1,1
caterham,1,0,1
caterina,0,1,1
caterinaoverpaint,0,1,0
caterinapaintslisa,0,0,1
catering,0,2,1
caterpilartupacthe,0,0,1
catfish,0,1,2
cathal,0,0,1
cathedral,0,1,3
catherine,0,1,0
catherinebell,0,1,0
catheter,0,0,1
cathode,0,0,1
catholic,6,8,21
catholicchurch,1,0,0
catholicfail,1,0,0
catholicproblems,1,0,0
catholics,8,3,6
catilac,0,1,0
catmom,0,1,0
catnip,0,1,0
cats,1,3,3
catsofinstagram,0,1,0
cattle,0,0,2
catwoman,0,2,0
catz,0,0,1
caucus,0,1,3
caue,1,0,0
cauldron,0,0,1
cauley,0,0,1
causality,1,0,1
cause,17,9,24
causes,1,0,0
causing,1,1,0
caution,2,1,2
cautionary,0,0,1
cautious,2,0,2
cautiously,1,0,0
cav,0,3,1
cava,0,1,0
cavalier,0,0,1
cavaliers,0,1,0
cavalli,0,0,2
cavani,0,1,4
cave,3,2,4
caveat,0,0,3
cavern,0,0,1
caviar,0,0,1
cavill,0,1,0
cavqcieru,0,1,0
cavs,1,2,2
caw,0,2,0
cawcaw,1,0,0
cawfields,0,0,1
cayne,0,0,1
caz,0,1,0
cazorla,0,0,3
cb,4,1,11
cba,4,1,10
cbb,3,10,16
cbbc,0,2,0
cbbcis,0,1,0
cbbots,0,0,2
cbbuk,0,1,0
cbc,0,4,2
cbcnorth,0,0,1
cbi,0,0,1
cbn,0,5,7
cboe,2,0,0
cbpoli,0,1,0
cbs,7,16,26
cbsa,0,0,1
cbsatlbreaking,0,0,1
cbsbigbrother,0,1,1
cbserie,1,0,0
cbsface,0,1,1
cc,5,11,14
ccalexapollock,0,1,0
ccant,0,1,0
ccdjo,0,1,0
ccfc,0,1,0
ccg,0,0,1
ccot,5,1,3
ccp,0,0,1
ccr,0,2,0
ccs,0,1,0
ccsao,0,0,1
cctv,0,0,1
ccu,0,0,1
cd,3,18,28
cda,0,1,0
cdata,1,0,0
cde,0,1,1
cdma,0,0,1
cdn,0,0,1
cdnpoli,6,3,6
cdo,0,1,0
cdos,0,0,1
cds,0,0,3
cdu,0,0,1
ce,0,4,5
cea,0,2,0
ceasar,0,1,0
cease,0,3,5
ceasefire,1,0,1
ceaselessly,0,1,0
ceasfire,0,0,1
ceballo,0,0,1
ceballos,0,0,1
cebu,0,6,5
cebufinest,0,1,0
cec,0,0,1
cecafa,0,0,2
cech,0,2,9
cecil,1,0,3
cedar,0,3,4
cedaw,1,0,0
cede,0,1,0
cedric,1,0,0
cef,0,1,0
cehod,0,0,1
ceilin,0,0,1
ceiling,0,0,1
celeb,2,6,6
celeberate,0,0,1
celebpro,0,0,1
celebr,0,0,1
celebrate,12,241,47
celebrated,0,3,1
celebratetherightholiday,0,1,0
celebratingeid,0,1,0
celebration,4,45,17
celebrity,18,56,39
celebrityapprentice,0,0,1
celebritybigbrother,0,1,0
celebrityonholiday,0,1,0
celebrityslandersaturday,0,0,1
celebs,1,3,0
celeste,0,0,1
celg,0,0,1
celia,0,0,1
celibrate,1,0,0
celic,0,1,0
celin,0,1,0
celina,0,0,1
celine,0,2,0
cell,8,7,13
cellar,1,0,0
cellini,1,0,0
cellphone,1,1,2
cellular,1,1,3
celsius,0,0,1
celta,0,0,1
celtic,3,3,4
celticnation,0,1,0
celtics,8,10,11
celtslife,0,0,1
cement,0,1,1
cemetery,0,0,1
cen,0,1,2
cena,47,144,193
cenahatenation,0,1,0
cenas,0,1,1
cenation,1,1,2
cenavsrollin,0,1,0
cenavsstewart,0,0,1
cenawinslol,0,0,1
cenbank,0,0,1
cenema,0,0,1
cenla,0,0,1
cenotaph,1,0,1
censor,0,1,1
censorship,0,0,2
census,0,0,1
cent,5,8,7
centenary,0,1,0
centenera,0,0,1
centennial,0,2,0
center,15,103,148
centerfield,0,0,1
centerpiece,0,0,2
centers,0,2,0
centertext,0,0,1
centicedcoffee,0,1,0
central,6,27,39
centraleuropeantime,0,0,1
centrally,0,0,1
centre,10,34,34
centreback,0,0,1
centretown,0,0,2
centur,0,0,1
centuries,0,0,1
centurions,0,1,0
century,6,7,15
centurylink,0,0,1
ceo,15,9,25
ceosleepout,0,0,1
cepedes,0,0,1
cercania,1,0,0
cerci,0,0,1
cereal,0,0,4
ceremonial,0,0,3
ceremonies,0,0,2
ceremony,1,12,17
cern,0,2,0
cert,0,1,0
certain,3,4,13
certainly,12,11,9
certainty,0,0,1
certificate,1,3,4
certificates,0,0,1
certification,0,1,0
certified,1,0,1
certify,0,4,3
certitude,0,0,1
cervantes,0,1,0
cervo,0,1,0
ces,1,3,3
cesar,0,1,0
cesaro,0,2,3
cesc,2,3,3
cescboy,0,0,1
cesena,1,4,5
cesoro,0,0,1
cespede,0,2,0
cespedes,0,0,3
cest,0,0,1
cet,0,4,3
cf,0,1,3
cfb,5,6,13
cfbl,0,0,1
cfc,3,12,10
cfda,0,0,1
cfl,0,0,1
cfm,0,1,0
cfmf,0,0,2
cfn,0,0,1
cfo,0,0,1
cfr,0,1,0
cfru,0,0,1
cfs,1,0,0
cgc,0,1,0
cgi,0,1,2
cgvb,0,2,0
ch,1,4,5
cha,0,2,5
chaa,0,0,1
chaac,0,0,1
chabrier,0,0,1
chad,9,8,5
chadian,3,2,0
chadli,0,0,5
chadmendes,0,1,0
chadmmurray,0,0,1
chadwick,0,0,1
chael,0,0,2
chagrin,3,0,0
chai,0,1,0
chain,3,5,6
chainsaw,0,1,1
chainz,0,1,1
chair,9,12,20
chairman,1,1,5
chairmen,0,0,1
chairperson,0,1,0
chairs,0,2,0
chaisson,0,1,0
chajnz,0,0,1
chaka,0,0,1
chakra,0,0,1
chalee,0,0,1
chalet,0,1,0
chalk,0,0,1
chalkboard,0,1,0
challenge,10,36,44
challengeaccept,0,1,0
challengefml,1,0,0
challengemetoglo,0,0,1
challenger,0,1,1
challenging,0,0,1
chalmer,1,0,1
chalmers,4,1,3
chalupny,0,0,2
chamakh,0,1,0
chamber,5,4,10
chamberlain,2,7,3
chambers,0,1,2
chambersburg,0,0,1
chamcha,0,0,1
chameleon,0,0,1
champ,4,31,21
champagne,0,3,1
champi,0,1,0
champion,5,41,49
championbydonyom,0,0,3
championhurdler,0,0,1
champions,4,6,15
championship,14,46,76
championships,0,1,5
championsleague,0,0,2
championstour,0,1,0
champo,0,0,1
champs,0,6,0
chan,0,1,0
chanakya,0,0,1
chance,37,107,128
chancel,0,0,1
chancellor,2,0,14
chand,0,0,1
chandelier,0,0,1
chandigarh,0,0,1
chandler,1,2,2
chando,0,0,1
chandra,0,0,1
chandy,2,0,2
chane,0,1,0
chanel,1,3,3
change,60,70,153
changed,0,0,1
changeover,0,0,1
changer,0,0,2
changeup,0,0,1
changing,0,0,1
changingchangi,0,0,1
changingthesubject,0,1,0
changingtheworld,0,1,0
chann,3,7,3
channel,24,36,44
channels,0,1,0
channing,1,2,0
channingishot,0,1,0
channingswag,0,1,0
chanot,0,0,1
chant,1,3,5
chante,0,1,0
chaos,1,1,4
chaotic,1,1,2
chap,1,3,4
chapeau,0,1,0
chapel,2,7,6
chapelle,0,0,1
chapin,0,1,0
chaplains,0,1,0
chapman,0,1,1
chapos,0,1,0
chapter,2,13,11
chapterbook,0,1,0
char,0,0,1
character,13,36,19
characterise,1,0,0
characteristic,0,0,3
characterize,2,0,0
charater,0,1,0
charcoal,0,0,1
chardon,0,6,4
chardonnay,0,0,1
charge,61,17,48
charger,2,6,8
chargerfansboo,0,0,1
chargers,0,4,5
charges,1,0,1
chargesk,0,0,1
chargeup,0,1,0
charging,1,0,1
chariot,0,0,1
charitable,0,2,2
charity,2,15,12
charityrd,0,0,1
charlene,0,0,1
charles,6,18,22
charlesmilander,0,1,0
charleston,1,5,6
charlestown,0,0,1
charlevoix,0,0,1
charley,0,0,3
charlie,98,24,115
charliechaplin,0,0,1
charlize,0,1,0
charlotte,1,10,12
charlottetown,0,0,1
charlton,0,1,0
charm,3,5,2
charmer,0,0,1
charming,0,5,1
charms,0,0,1
charnley,0,1,0
charot,0,0,1
charr,1,2,0
charrish,0,1,0
chart,3,25,20
charter,0,2,1
chartered,0,0,1
charts,0,2,3
chase,2,17,24
chasing,1,0,3
chasm,0,0,1
chat,7,28,36
chata,0,1,0
chateau,2,1,4
chattanooga,0,5,1
chatter,0,0,1
chatterley,0,1,0
chaucer,0,0,1
chauhan,1,0,0
chautauqua,0,0,1
chavbant,0,0,1
chavs,0,0,1
chavvy,0,1,0
chawla,0,0,1
chaya,0,0,1
chazelle,0,1,0
chc,0,0,1
chck,0,1,0
chcvslad,0,0,1
chcvsmil,0,0,1
chdn,0,1,0
chea,0,1,0
cheap,10,19,26
cheapskate,0,0,1
cheat,15,0,7
cheated,1,0,0
cheater,7,2,3
cheatsheet,0,0,1
check,31,185,263
checkbook,0,1,0
checker,0,0,1
checkherrecord,0,0,1
checkin,0,1,0
checking,1,0,0
checkmate,0,0,1
checkng,0,0,1
checkout,0,1,2
checkpoint,1,1,1
checks,0,0,1
ched,1,0,0
cheddar,0,1,0
cheek,1,4,1
cheekbone,1,0,0
cheekily,1,0,0
cheeky,0,3,4
cheep,0,1,0
cheer,6,43,21
cheerful,0,0,4
cheerleader,0,1,6
cheerleading,0,0,1
cheerpracticeonhalloween,0,1,0
cheers,0,2,0
cheersforthenetboy,0,1,0
cheersforthethunderstorm,0,0,1
cheery,0,1,0
cheese,1,9,6
cheeseburger,0,1,0
cheesecake,0,1,1
cheeseplease,0,0,1
cheesy,1,2,0
cheesymusic,1,0,0
cheeto,0,0,1
cheetos,0,2,0
chef,1,7,5
chel,0,1,0
chels,0,0,1
chelsea,27,97,102
chelseaamps,0,0,1
chelski,0,1,0
cheltenham,0,0,1
chem,2,1,1
chemical,0,1,7
chemicals,0,0,1
chemistry,0,2,4
chemtrail,1,0,0
chemtrails,1,0,0
chemweap,0,0,1
chen,0,0,4
cheney,4,1,0
chengde,0,1,0
chennai,0,1,4
chennaifloods,0,0,1
chenoweth,0,5,6
cheque,0,1,2
cher,1,0,1
cheri,0,1,0
cherie,0,1,6
cherington,0,1,1
cherish,0,2,0
cherri,0,0,1
cherries,0,1,0
cherry,2,6,11
cherub,0,0,1
chervona,0,1,0
cheryl,0,0,1
chesapeake,0,1,0
chesney,1,21,29
chess,0,0,4
chessbaron,0,0,1
chessdom,0,0,1
chessnew,0,0,1
chesspreviews,0,0,1
chest,1,2,4
chester,0,5,5
chesterfield,0,2,1
chesters,1,7,0
chet,0,2,3
chetbaker,0,0,1
chevron,0,0,2
chevrons,0,0,1
chevy,0,6,4
chew,3,0,1
chewie,0,2,0
chexk,0,0,1
chey,0,1,0
chg,0,0,1
chhatrapati,0,0,1
chi,0,6,4
chiara,0,1,0
chibok,2,0,1
chibuzor,0,0,1
chic,1,4,2
chicago,9,37,54
chicagoan,0,1,0
chicagocub,0,0,1
chicagocubs,0,0,1
chicagodeal,0,0,1
chicagomagicpsg,1,0,0
chicagoriffic,0,1,0
chicagowolves,0,1,0
chicas,0,0,1
chicha,0,0,2
chichadios,0,1,0
chicharito,0,1,0
chick,2,6,6
chicka,0,0,1
chicken,5,14,13
chickfila,0,1,0
chico,0,0,1
chidgey,1,0,0
chief,11,13,42
chiefs,4,5,5
chiefweek,0,1,0
chievo,0,1,2
chiffarobe,0,1,0
chiffon,0,0,1
chigozie,0,0,1
chihuahua,0,0,1
chika,0,2,0
chikara,0,1,0
chilcot,0,0,1
chilcotreport,0,0,1
chilcott,1,0,0
child,24,47,52
childcare,0,1,2
childhood,1,4,4
childish,0,3,1
children,2,11,17
childreninneed,0,1,0
childrenslibrarian,0,1,0
chile,0,3,4
chili,0,10,4
chilis,0,1,0
chill,12,30,23
chillen,0,1,2
chiller,0,0,1
chilli,0,0,2
chillin,1,9,5
chilly,1,2,2
chiltern,1,0,0
chima,0,1,0
chime,0,1,2
chimenti,0,0,1
chimp,0,1,0
chin,0,1,4
china,15,17,55
chinathen,0,0,1
chinatown,0,1,1
chinenye,0,0,1
chinese,4,10,25
ching,0,1,1
chinoy,0,2,1
chintan,0,1,0
chiodos,0,1,0
chip,0,8,9
chipkaw,0,0,1
chiplead,0,0,2
chipoltle,0,0,1
chipotle,2,0,2
chippen,0,1,0
chippewas,0,0,1
chippy,0,0,1
chips,1,1,1
chiraq,0,0,1
chirinos,0,0,1
chirping,0,0,1
chiru,0,1,0
chisora,2,0,7
chistian,0,0,1
chit,0,0,1
chitral,0,0,1
chittering,0,2,2
chix,0,0,2
chiyo,0,0,1
chldrn,0,0,1
chloe,0,1,3
cho,0,1,0
choc,1,2,1
chockablock,0,1,0
chocolat,0,0,1
chocolate,1,16,20
choi,0,1,1
choice,31,48,55
choir,2,5,6
chois,0,0,1
choji,0,1,0
choke,8,5,10
chokepgachampionship,1,0,0
choker,0,0,1
chokha,0,0,1
cholo,0,0,1
chomsky,1,0,0
chong,0,2,0
choo,1,0,1
choose,9,22,25
choosing,0,1,0
chop,3,1,3
choppa,0,1,0
chopper,0,1,0
chops,0,1,0
chopstick,0,0,1
chora,0,1,0
chorale,0,1,0
chord,0,0,2
choreo,0,1,1
choreograph,0,0,1
choreographers,0,0,1
choreography,0,2,1
chorizo,0,1,0
choro,0,1,0
chorus,1,1,3
chose,0,1,0
chosen,0,0,1
chota,0,0,1
choth,0,1,0
chourasia,0,1,0
chow,0,2,0
chowchila,0,0,1
chowder,0,0,1
chowkidar,1,0,0
chp,1,1,0
chr,1,0,0
chris,65,213,179
